Chain: polkadot; replacing 13 bootnode(s) with /ip4/127.0.0.1/tcp/30333/ws/p2p/12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/30335, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/10916, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/dns/d7tptks4uooc73d1e7h0.bdnodes.net/tcp/30335, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/50974/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/54448, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/36676/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/46934, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/45528/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/46128/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/55952/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/46838/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/34798/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/43046/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/43844/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/37410/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/38198/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/49064/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/54540/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/40542/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/30008, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/41304/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/57748/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/41892/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/52936/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/46338/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/30008/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWL4FjvUo8J3DBFrs3Q7riVPUXZejgMLX2sN4SXrZwqULS, addr=/ip4/65.21.228.183/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/53780/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/52034/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/58714/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/50002/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/59600/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/41734/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/43756/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/60904/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/35172/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/50288/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/53924/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/60558, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/35092/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/dns/d3tlhrp4qons73cvi3dg.bdnodes.net/tcp/30363, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/50690/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/48254/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/44128/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/54095, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/63290, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/6476, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/51402/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/52228/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/46732/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/47736/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/44530/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/50532/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/54610/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/35236/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/46974/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/30007, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/41694, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/59408, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/47610, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/54156, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/59498, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/38638, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip6/2a01:4f8:173:1355::2/tcp/30333/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/58302, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/37292, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/36166, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/49580/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/57620/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/53486/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/60638/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/30009/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/39634/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/53398/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/50398/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/32872/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/36732/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/48310/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/34122/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/45174/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/52764/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/35190/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/50800/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/33462/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/52596/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/60168/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
